index,risky,grade_A,grade_B,grade_C,grade_D,grade_E,grade_F,grade_G,term_ 36 months,term_ 60 months,home_ownership_ANY,home_ownership_MORTGAGE,home_ownership_OWN,home_ownership_RENT
95227,1,0,0,1,0,0,0,0,0,1,0,0,0,1
70302,1,0,0,0,0,1,0,0,0,1,0,1,0,0
63453,1,0,0,0,1,0,0,0,0,1,0,0,0,1
77877,1,0,1,0,0,0,0,0,1,0,0,0,1,0
105574,1,0,0,1,0,0,0,0,0,1,0,0,0,1
47024,1,0,0,1,0,0,0,0,1,0,0,0,0,1
71496,1,0,0,0,1,0,0,0,0,1,0,1,0,0
29231,1,0,0,1,0,0,0,0,1,0,0,1,0,0
106123,1,0,0,1,0,0,0,0,1,0,0,1,0,0
54530,1,0,0,0,0,0,1,0,0,1,0,1,0,0
92833,1,0,0,0,0,0,1,0,0,1,0,1,0,0
25018,1,0,0,0,0,1,0,0,1,0,0,0,0,1
17825,1,0,0,0,0,0,1,0,0,1,0,1,0,0
95681,1,0,1,0,0,0,0,0,1,0,0,0,0,1
95406,1,0,0,0,0,1,0,0,0,1,0,1,0,0
57681,1,0,0,1,0,0,0,0,0,1,0,0,0,1
31977,1,0,1,0,0,0,0,0,1,0,0,1,0,0
9157,1,0,0,0,1,0,0,0,1,0,0,0,1,0
80688,1,0,0,0,1,0,0,0,0,1,0,1,0,0
96298,1,0,0,1,0,0,0,0,1,0,0,0,0,1
8096,1,0,0,0,1,0,0,0,1,0,0,0,0,1
101929,1,0,1,0,0,0,0,0,0,1,0,0,1,0
77339,1,0,1,0,0,0,0,0,1,0,0,1,0,0
82997,1,0,0,1,0,0,0,0,0,1,0,1,0,0
80193,1,0,0,0,1,0,0,0,1,0,0,0,0,1
8260,1,0,0,1,0,0,0,0,0,1,0,0,0,1
11713,1,0,0,0,1,0,0,0,1,0,0,0,0,1
884,1,0,0,0,1,0,0,0,1,0,0,0,0,1
16964,1,0,0,1,0,0,0,0,1,0,0,0,1,0
45317,1,0,0,1,0,0,0,0,1,0,0,1,0,0
90000,1,0,0,0,1,0,0,0,1,0,0,0,0,1
64738,1,0,0,1,0,0,0,0,1,0,0,0,0,1
57746,1,0,0,1,0,0,0,0,0,1,0,0,1,0
39326,1,0,0,1,0,0,0,0,0,1,0,0,0,1
97987,1,0,1,0,0,0,0,0,1,0,0,1,0,0
107829,1,0,0,1,0,0,0,0,1,0,0,0,1,0
59069,1,0,0,0,1,0,0,0,0,1,0,0,1,0
66663,1,0,0,0,0,1,0,0,0,1,0,0,0,1
47024,1,0,0,1,0,0,0,0,1,0,0,0,0,1
81460,1,0,0,0,1,0,0,0,0,1,0,0,0,1
4948,1,1,0,0,0,0,0,0,1,0,0,1,0,0
99771,1,0,0,1,0,0,0,0,0,1,0,0,0,1
45035,1,0,1,0,0,0,0,0,1,0,0,0,0,1
96861,1,0,0,0,0,1,0,0,0,1,0,0,1,0
85918,1,0,1,0,0,0,0,0,1,0,0,0,0,1
98127,1,0,1,0,0,0,0,0,1,0,0,1,0,0
57665,1,0,1,0,0,0,0,0,1,0,0,0,0,1
37670,1,0,0,0,1,0,0,0,0,1,0,0,1,0
93734,1,0,0,0,1,0,0,0,1,0,0,1,0,0
68413,1,0,0,1,0,0,0,0,1,0,0,0,1,0
98824,1,0,0,1,0,0,0,0,0,1,0,0,0,1
45317,1,0,0,1,0,0,0,0,1,0,0,1,0,0
71974,1,0,0,1,0,0,0,0,1,0,0,0,0,1
38126,1,0,0,1,0,0,0,0,1,0,0,0,0,1
67564,1,0,1,0,0,0,0,0,1,0,0,1,0,0
59071,1,0,0,1,0,0,0,0,0,1,0,1,0,0
92838,1,0,0,0,1,0,0,0,0,1,0,0,1,0
46589,1,0,0,0,1,0,0,0,1,0,0,1,0,0
99963,1,0,0,0,0,0,1,0,0,1,0,1,0,0
55250,1,0,1,0,0,0,0,0,1,0,0,1,0,0
93268,1,0,1,0,0,0,0,0,1,0,0,1,0,0
87734,1,0,0,0,1,0,0,0,1,0,0,1,0,0
69024,1,0,0,0,1,0,0,0,0,1,0,1,0,0
102168,1,0,1,0,0,0,0,0,0,1,0,0,0,1
47604,1,0,0,1,0,0,0,0,1,0,0,0,0,1
27175,1,0,0,0,1,0,0,0,1,0,0,1,0,0
43048,1,0,0,1,0,0,0,0,0,1,0,1,0,0
33249,1,0,0,1,0,0,0,0,1,0,0,0,0,1
59071,1,0,0,1,0,0,0,0,0,1,0,1,0,0
100901,1,0,0,0,1,0,0,0,1,0,0,0,1,0
23747,1,0,0,1,0,0,0,0,0,1,0,1,0,0
26755,1,0,0,1,0,0,0,0,1,0,0,0,0,1
23056,1,0,0,1,0,0,0,0,1,0,0,1,0,0
72143,1,0,0,0,1,0,0,0,0,1,0,0,0,1
85545,1,0,0,0,1,0,0,0,1,0,0,1,0,0
57332,1,0,0,1,0,0,0,0,0,1,0,1,0,0
12014,1,0,0,0,1,0,0,0,0,1,0,1,0,0
102936,1,0,0,1,0,0,0,0,1,0,0,1,0,0
97447,1,0,0,1,0,0,0,0,1,0,0,1,0,0
106027,1,0,0,0,1,0,0,0,0,1,0,1,0,0
37159,1,0,0,1,0,0,0,0,1,0,0,1,0,0
96060,1,0,0,1,0,0,0,0,1,0,0,0,1,0
62887,1,0,0,0,1,0,0,0,0,1,0,1,0,0
104807,1,1,0,0,0,0,0,0,1,0,0,0,0,1
78858,1,0,0,0,1,0,0,0,1,0,0,0,0,1
2176,1,0,0,0,1,0,0,0,1,0,0,0,0,1
74634,1,0,0,0,0,0,1,0,0,1,0,0,0,1
37484,1,0,0,1,0,0,0,0,0,1,0,0,0,1
55753,1,0,0,1,0,0,0,0,1,0,0,0,0,1
58834,1,0,0,1,0,0,0,0,0,1,0,1,0,0
10238,1,1,0,0,0,0,0,0,1,0,0,0,0,1
92104,1,0,0,0,0,1,0,0,0,1,0,0,1,0
89421,1,0,0,0,1,0,0,0,0,1,0,0,0,1
20032,1,0,0,0,1,0,0,0,0,1,0,0,0,1
84846,1,0,0,1,0,0,0,0,1,0,0,0,0,1
43077,1,0,0,1,0,0,0,0,1,0,0,1,0,0
81244,1,0,0,0,1,0,0,0,1,0,0,0,1,0
93238,1,1,0,0,0,0,0,0,1,0,0,1,0,0
83299,1,1,0,0,0,0,0,0,1,0,0,1,0,0
20032,1,0,0,0,1,0,0,0,0,1,0,0,0,1
93734,1,0,0,0,1,0,0,0,1,0,0,1,0,0
62085,1,0,0,0,1,0,0,0,1,0,0,0,0,1
68413,1,0,0,1,0,0,0,0,1,0,0,0,1,0
103883,1,0,0,0,1,0,0,0,1,0,0,0,1,0
55185,1,0,0,1,0,0,0,0,1,0,0,0,0,1
57724,1,0,0,0,1,0,0,0,1,0,0,0,0,1
11653,1,0,0,0,1,0,0,0,1,0,0,0,0,1
100901,1,0,0,0,1,0,0,0,1,0,0,0,1,0
30819,1,0,1,0,0,0,0,0,1,0,0,1,0,0
4801,1,0,0,1,0,0,0,0,1,0,0,1,0,0
39074,1,0,0,1,0,0,0,0,1,0,0,0,0,1
89777,1,0,0,1,0,0,0,0,0,1,0,0,0,1
101596,1,0,0,1,0,0,0,0,1,0,0,1,0,0
81355,1,1,0,0,0,0,0,0,1,0,0,1,0,0
30797,1,0,0,0,1,0,0,0,1,0,0,0,0,1
80122,1,0,0,0,1,0,0,0,0,1,0,1,0,0
102227,1,0,0,1,0,0,0,0,1,0,0,0,1,0
30751,1,0,0,0,1,0,0,0,0,1,0,0,0,1
26090,1,0,0,0,0,0,1,0,0,1,0,0,0,1
40917,1,0,0,0,1,0,0,0,1,0,0,0,0,1
95281,1,0,1,0,0,0,0,0,0,1,0,1,0,0
93443,1,0,0,0,0,1,0,0,0,1,0,1,0,0
77210,1,0,0,1,0,0,0,0,1,0,0,1,0,0
44431,1,0,0,0,0,1,0,0,0,1,0,0,1,0
55315,1,0,0,1,0,0,0,0,0,1,0,0,0,1
8812,1,0,0,0,1,0,0,0,0,1,0,0,1,0
64169,1,1,0,0,0,0,0,0,1,0,0,0,0,1
97806,1,0,0,1,0,0,0,0,1,0,0,1,0,0
64169,1,1,0,0,0,0,0,0,1,0,0,0,0,1
92529,1,0,0,1,0,0,0,0,0,1,0,0,1,0
21106,1,0,0,1,0,0,0,0,1,0,0,1,0,0
74693,1,0,0,0,0,1,0,0,0,1,0,0,0,1
43077,1,0,0,1,0,0,0,0,1,0,0,1,0,0
68192,1,0,0,1,0,0,0,0,0,1,0,1,0,0
100334,1,0,0,1,0,0,0,0,0,1,0,0,0,1
29243,1,0,0,0,1,0,0,0,1,0,0,1,0,0
783,1,0,1,0,0,0,0,0,0,1,0,0,0,1
71576,1,0,0,0,1,0,0,0,1,0,0,1,0,0
100621,1,0,0,0,1,0,0,0,1,0,0,0,0,1
62637,1,0,0,0,1,0,0,0,1,0,0,0,1,0
95242,1,0,1,0,0,0,0,0,1,0,0,0,0,1
53951,1,0,0,0,1,0,0,0,1,0,0,0,1,0
5845,1,1,0,0,0,0,0,0,1,0,0,0,1,0
100457,1,0,0,1,0,0,0,0,1,0,0,0,0,1
30819,1,0,1,0,0,0,0,0,1,0,0,1,0,0
55297,1,1,0,0,0,0,0,0,1,0,0,1,0,0
95035,1,0,0,0,1,0,0,0,0,1,0,0,0,1
3797,1,0,0,1,0,0,0,0,1,0,0,0,0,1
88973,1,0,0,0,1,0,0,0,1,0,0,0,1,0
58834,1,0,0,1,0,0,0,0,0,1,0,1,0,0
96106,1,0,0,1,0,0,0,0,1,0,0,0,0,1
63849,1,0,0,0,1,0,0,0,0,1,0,0,0,1
20843,1,0,0,0,1,0,0,0,0,1,0,0,0,1
92732,1,0,0,1,0,0,0,0,0,1,0,0,0,1
104997,1,0,1,0,0,0,0,0,1,0,0,0,0,1
31285,1,0,0,1,0,0,0,0,1,0,0,0,1,0
9369,1,1,0,0,0,0,0,0,1,0,0,1,0,0
97616,1,0,1,0,0,0,0,0,1,0,0,1,0,0
62830,1,0,0,0,1,0,0,0,1,0,0,1,0,0
99127,1,1,0,0,0,0,0,0,1,0,0,0,0,1
62677,1,0,0,0,0,1,0,0,0,1,0,1,0,0
10264,1,0,0,1,0,0,0,0,1,0,0,0,1,0
103454,1,0,1,0,0,0,0,0,1,0,0,0,0,1
33626,1,0,0,1,0,0,0,0,0,1,0,1,0,0
82232,1,0,0,1,0,0,0,0,0,1,0,0,0,1
106879,1,0,1,0,0,0,0,0,0,1,0,0,0,1
63185,1,0,0,0,1,0,0,0,1,0,0,0,0,1
104997,1,0,1,0,0,0,0,0,1,0,0,0,0,1
4801,1,0,0,1,0,0,0,0,1,0,0,1,0,0
17825,1,0,0,0,0,0,1,0,0,1,0,1,0,0
94877,1,0,0,1,0,0,0,0,0,1,0,1,0,0
23034,1,0,1,0,0,0,0,0,1,0,0,0,1,0
96657,1,0,1,0,0,0,0,0,1,0,0,0,1,0
96410,1,1,0,0,0,0,0,0,1,0,0,1,0,0
8840,1,0,0,0,1,0,0,0,0,1,0,0,0,1
60198,1,1,0,0,0,0,0,0,1,0,0,1,0,0
60524,1,0,0,0,1,0,0,0,1,0,0,1,0,0
61667,1,0,0,1,0,0,0,0,0,1,0,1,0,0
70685,1,0,0,0,1,0,0,0,0,1,0,0,0,1
60341,1,0,0,0,1,0,0,0,1,0,0,0,0,1
2176,1,0,0,0,1,0,0,0,1,0,0,0,0,1
80122,1,0,0,0,1,0,0,0,0,1,0,1,0,0
83483,1,0,1,0,0,0,0,0,0,1,0,0,0,1
102208,1,0,0,1,0,0,0,0,1,0,0,1,0,0
107785,1,1,0,0,0,0,0,0,1,0,0,0,1,0
74483,1,1,0,0,0,0,0,0,1,0,0,0,0,1
79914,1,0,1,0,0,0,0,0,1,0,0,1,0,0
96214,1,0,0,0,0,0,1,0,0,1,0,0,0,1
64405,1,0,1,0,0,0,0,0,1,0,0,1,0,0
10586,1,0,0,1,0,0,0,0,1,0,0,0,0,1
59341,1,0,0,1,0,0,0,0,1,0,0,0,0,1
83171,1,0,0,1,0,0,0,0,1,0,0,1,0,0
107602,1,1,0,0,0,0,0,0,1,0,0,1,0,0
100687,1,1,0,0,0,0,0,0,1,0,0,1,0,0
62781,1,0,0,1,0,0,0,0,1,0,0,0,0,1
525,1,0,0,0,1,0,0,0,1,0,0,1,0,0
77608,1,0,1,0,0,0,0,0,1,0,0,1,0,0
8400,1,0,1,0,0,0,0,0,1,0,0,1,0,0
106879,1,0,1,0,0,0,0,0,0,1,0,0,0,1
56616,1,0,0,0,1,0,0,0,0,1,0,1,0,0
29179,1,0,0,0,1,0,0,0,0,1,0,1,0,0
2054,1,0,0,0,1,0,0,0,1,0,0,0,0,1
34781,1,0,0,0,1,0,0,0,1,0,0,0,1,0
75659,1,0,0,1,0,0,0,0,1,0,0,0,0,1
69641,1,1,0,0,0,0,0,0,1,0,0,1,0,0
46018,1,0,0,1,0,0,0,0,1,0,0,0,0,1
101150,1,0,0,1,0,0,0,0,1,0,0,0,1,0
70302,1,0,0,0,0,1,0,0,0,1,0,1,0,0
99498,1,0,0,1,0,0,0,0,0,1,0,0,0,1
721,1,1,0,0,0,0,0,0,1,0,0,0,1,0
62699,1,0,0,1,0,0,0,0,0,1,0,0,0,1
34484,1,0,0,0,1,0,0,0,0,1,0,1,0,0
104175,1,0,0,1,0,0,0,0,1,0,0,0,0,1
51716,1,0,1,0,0,0,0,0,0,1,0,0,0,1
76697,1,0,0,1,0,0,0,0,0,1,0,1,0,0
6625,1,1,0,0,0,0,0,0,1,0,0,0,0,1
96180,1,0,0,0,0,0,1,0,0,1,0,1,0,0
67810,1,0,0,0,0,0,1,0,0,1,0,0,0,1
42849,1,0,0,1,0,0,0,0,0,1,0,1,0,0
28517,1,0,0,0,1,0,0,0,0,1,0,1,0,0
68192,1,0,0,1,0,0,0,0,0,1,0,1,0,0
66681,1,0,0,0,0,1,0,0,0,1,0,1,0,0
75750,1,0,0,1,0,0,0,0,1,0,0,0,0,1
49396,1,1,0,0,0,0,0,0,1,0,0,0,1,0
101770,1,0,0,0,0,1,0,0,1,0,0,0,0,1
101596,1,0,0,1,0,0,0,0,1,0,0,1,0,0
96736,1,1,0,0,0,0,0,0,1,0,0,0,0,1
61768,1,0,0,0,1,0,0,0,1,0,0,0,0,1
101706,1,1,0,0,0,0,0,0,1,0,0,1,0,0
55036,1,0,0,1,0,0,0,0,1,0,0,0,0,1
64828,1,0,0,1,0,0,0,0,1,0,0,0,1,0
12390,1,0,0,0,1,0,0,0,1,0,0,0,0,1
66460,1,0,0,0,1,0,0,0,1,0,0,1,0,0
34674,1,0,0,0,1,0,0,0,1,0,0,0,0,1
88662,1,0,0,0,1,0,0,0,1,0,0,0,0,1
97154,1,0,0,0,1,0,0,0,0,1,0,1,0,0
88968,1,0,0,0,1,0,0,0,1,0,0,0,1,0
59071,1,0,0,1,0,0,0,0,0,1,0,1,0,0
99890,1,0,0,0,0,1,0,0,0,1,0,1,0,0
100525,1,0,0,0,1,0,0,0,1,0,0,0,1,0
38394,1,0,0,0,1,0,0,0,1,0,0,0,0,1
75189,1,0,0,1,0,0,0,0,0,1,0,1,0,0
89153,1,0,1,0,0,0,0,0,1,0,0,1,0,0
63352,1,0,0,1,0,0,0,0,1,0,0,0,0,1
71073,1,0,0,0,1,0,0,0,1,0,0,0,0,1
19164,1,0,0,0,0,1,0,0,0,1,0,1,0,0
91473,1,0,0,0,1,0,0,0,0,1,0,1,0,0
66202,1,0,0,1,0,0,0,0,1,0,0,1,0,0
66694,1,0,0,1,0,0,0,0,1,0,0,0,1,0
27175,1,0,0,0,1,0,0,0,1,0,0,1,0,0
79491,1,0,0,1,0,0,0,0,1,0,0,0,0,1
8206,1,0,0,0,1,0,0,0,1,0,0,1,0,0
88282,1,0,0,0,0,0,1,0,1,0,0,0,1,0
45578,1,0,1,0,0,0,0,0,0,1,0,1,0,0
72145,1,0,0,0,0,1,0,0,1,0,0,0,0,1
49890,1,0,0,1,0,0,0,0,0,1,0,1,0,0
95821,1,0,0,0,1,0,0,0,1,0,0,0,0,1
96410,1,1,0,0,0,0,0,0,1,0,0,1,0,0
36311,1,0,1,0,0,0,0,0,0,1,0,0,1,0
75597,1,0,0,0,1,0,0,0,0,1,0,0,0,1
27410,1,0,0,1,0,0,0,0,1,0,0,0,0,1
62830,1,0,0,0,1,0,0,0,1,0,0,1,0,0
21868,1,1,0,0,0,0,0,0,1,0,0,0,1,0
57351,1,0,0,1,0,0,0,0,0,1,0,1,0,0
102790,1,0,0,0,1,0,0,0,0,1,0,1,0,0
84278,1,0,0,0,1,0,0,0,1,0,0,0,1,0
56609,1,0,0,1,0,0,0,0,0,1,0,1,0,0
23056,1,0,0,1,0,0,0,0,1,0,0,1,0,0
4109,1,0,1,0,0,0,0,0,0,1,0,1,0,0
99545,1,0,0,0,1,0,0,0,1,0,0,0,1,0
46169,1,0,1,0,0,0,0,0,1,0,0,1,0,0
84613,1,0,0,0,0,1,0,0,1,0,0,0,0,1
55148,1,0,0,0,1,0,0,0,1,0,0,0,0,1
100442,1,0,0,0,1,0,0,0,0,1,0,0,0,1
78344,1,1,0,0,0,0,0,0,1,0,0,0,0,1
46980,1,0,0,1,0,0,0,0,0,1,0,1,0,0
36868,1,0,0,1,0,0,0,0,1,0,0,0,0,1
60341,1,0,0,0,1,0,0,0,1,0,0,0,0,1
80059,1,0,1,0,0,0,0,0,1,0,0,1,0,0
102227,1,0,0,1,0,0,0,0,1,0,0,0,1,0
23185,1,0,0,0,0,0,1,0,0,1,0,0,0,1
55036,1,0,0,1,0,0,0,0,1,0,0,0,0,1
5560,1,0,0,0,1,0,0,0,0,1,0,0,0,1
27694,1,0,0,0,1,0,0,0,0,1,0,0,0,1
2937,1,0,0,0,0,0,0,1,1,0,0,1,0,0
90000,1,0,0,0,1,0,0,0,1,0,0,0,0,1
35543,1,0,0,1,0,0,0,0,0,1,0,1,0,0
68799,1,0,0,1,0,0,0,0,0,1,0,0,0,1
46852,1,0,0,0,1,0,0,0,0,1,0,0,0,1
55592,1,0,1,0,0,0,0,0,0,1,0,0,0,1
71138,1,0,0,0,1,0,0,0,0,1,0,0,0,1
96861,1,0,0,0,0,1,0,0,0,1,0,0,1,0
72652,1,0,0,1,0,0,0,0,1,0,0,1,0,0
52940,1,0,0,1,0,0,0,0,1,0,0,0,1,0
77439,1,1,0,0,0,0,0,0,1,0,0,1,0,0
83322,1,0,0,0,1,0,0,0,1,0,0,0,1,0
67046,1,0,0,0,0,0,1,0,0,1,0,0,0,1
35998,1,0,0,0,1,0,0,0,1,0,0,1,0,0
103585,1,0,0,0,0,1,0,0,0,1,0,0,0,1
99963,1,0,0,0,0,0,1,0,0,1,0,1,0,0
37159,1,0,0,1,0,0,0,0,1,0,0,1,0,0
71576,1,0,0,0,1,0,0,0,1,0,0,1,0,0
46564,1,0,0,0,1,0,0,0,1,0,0,0,0,1
93031,1,0,0,1,0,0,0,0,0,1,0,0,0,1
9543,1,0,0,0,1,0,0,0,0,1,0,0,0,1
76290,1,0,0,0,1,0,0,0,0,1,0,0,0,1
32557,1,0,0,0,1,0,0,0,0,1,0,0,0,1
107060,1,0,0,0,0,1,0,0,0,1,0,1,0,0
11877,1,0,1,0,0,0,0,0,1,0,0,1,0,0
85397,1,0,0,0,1,0,0,0,1,0,0,0,0,1
45035,1,0,1,0,0,0,0,0,1,0,0,0,0,1
56890,1,0,0,0,1,0,0,0,1,0,0,0,1,0
32522,1,0,0,1,0,0,0,0,1,0,0,1,0,0
35540,1,0,0,1,0,0,0,0,0,1,0,0,0,1
89421,1,0,0,0,1,0,0,0,0,1,0,0,0,1
23056,1,0,0,1,0,0,0,0,1,0,0,1,0,0
105105,1,0,0,1,0,0,0,0,1,0,0,0,0,1
28481,1,0,1,0,0,0,0,0,0,1,0,0,0,1
100525,1,0,0,0,1,0,0,0,1,0,0,0,1,0
86433,1,0,0,0,1,0,0,0,0,1,0,0,0,1
94961,1,0,1,0,0,0,0,0,1,0,0,1,0,0
62330,1,0,0,1,0,0,0,0,1,0,0,0,0,1
8400,1,0,1,0,0,0,0,0,1,0,0,1,0,0
76395,1,0,1,0,0,0,0,0,0,1,0,0,1,0
105472,1,0,0,0,0,1,0,0,0,1,0,0,0,1
98436,1,0,0,1,0,0,0,0,1,0,0,0,0,1
72061,1,0,0,1,0,0,0,0,0,1,0,1,0,0
91473,1,0,0,0,1,0,0,0,0,1,0,1,0,0
77081,1,0,0,0,1,0,0,0,0,1,0,0,0,1
32557,1,0,0,0,1,0,0,0,0,1,0,0,0,1
42378,1,0,0,1,0,0,0,0,0,1,0,0,0,1
91401,1,0,0,0,1,0,0,0,1,0,0,0,1,0
101995,1,0,0,1,0,0,0,0,1,0,0,0,0,1
55645,1,0,1,0,0,0,0,0,1,0,0,0,0,1
75597,1,0,0,0,1,0,0,0,0,1,0,0,0,1
39252,1,0,1,0,0,0,0,0,1,0,0,1,0,0
1003,1,0,0,1,0,0,0,0,1,0,0,1,0,0
8096,1,0,0,0,1,0,0,0,1,0,0,0,0,1
60198,1,1,0,0,0,0,0,0,1,0,0,1,0,0
24912,1,0,0,1,0,0,0,0,0,1,0,0,0,1
64169,1,1,0,0,0,0,0,0,1,0,0,0,0,1
39267,1,0,0,1,0,0,0,0,1,0,0,0,0,1
372,1,0,1,0,0,0,0,0,0,1,0,0,1,0
66315,1,0,0,0,0,0,0,1,0,1,0,1,0,0
